kappa,epsilon,degree,subnormalization_c,angle_residual,angle_time_s,queries_per_sample,queries_per_sample_AA,poly_rel_err
2,1e-02,9,4.508783e-01,2.442e-15,0.0031,4.427146e+01,1.996104e+01,9.069e-03
4,1e-02,21,2.185659e-01,3.775e-15,0.0038,4.395966e+02,9.608085e+01,8.991e-03
8,1e-02,45,1.072919e-01,6.772e-15,0.0154,3.909118e+03,4.194167e+02,8.766e-03
16,1e-02,93,5.315611e-02,7.010e-05,0.4459,3.291369e+04,1.749564e+03,9.205e-03
32,1e-02,191,2.634763e-02,2.421e-03,2.0709,2.751377e+05,7.249228e+03,9.575e-03
64,1e-02,391,1.304609e-02,2.088e-03,9.6695,2.297292e+06,2.997067e+04,9.975e-03
128,1e-02,805,6.439596e-03,4.796e-14,13.7316,1.941237e+07,1.250078e+05,9.944e-03
2,1e-03,15,3.706897e-01,4.108e-15,0.0019,1.091617e+02,4.046511e+01,3.357e-04
4,1e-03,31,1.861092e-01,3.886e-15,0.0029,8.950061e+02,1.665689e+02,6.984e-04
8,1e-03,63,9.302807e-02,8.771e-15,0.0115,7.279683e+03,6.772149e+02,9.138e-04
16,1e-03,129,4.615533e-02,2.098e-14,0.1569,6.055444e+04,2.794910e+03,9.675e-04
32,1e-03,265,2.283430e-02,2.631e-14,0.9626,5.082419e+05,1.160535e+04,9.474e-04
64,1e-03,539,1.133959e-02,6.661e-14,6.0967,4.191736e+06,4.753257e+04,9.875e-04
128,1e-03,1101,5.620160e-03,4.352e-14,42.1087,3.485700e+07,1.959019e+05,9.845e-04
2,1e-04,19,3.351666e-01,3.220e-15,0.0022,1.691345e+02,5.668823e+01,3.728e-05
4,1e-04,39,1.682375e-01,6.439e-15,0.0150,1.377904e+03,2.318151e+02,9.044e-05
8,1e-04,81,8.322160e-02,8.549e-15,0.0615,1.169534e+04,9.733050e+02,9.522e-05
16,1e-04,167,4.113066e-02,3.220e-14,0.2839,9.871546e+04,4.060232e+03,8.972e-05
32,1e-04,337,2.049418e-02,4.430e-14,1.5367,8.023592e+05,1.644369e+04,9.978e-05
64,1e-04,687,1.015761e-02,1.286e-13,10.2986,6.658464e+06,6.763405e+04,9.776e-05
128,1e-04,1395,5.043285e-03,4.330e-14,75.3234,5.484628e+07,2.766054e+05,9.901e-05
2,1e-06,27,2.871077e-01,2.887e-15,0.0050,3.275473e+02,9.404135e+01,4.600e-07
4,1e-06,57,1.415417e-01,1.044e-14,0.0218,2.845154e+03,4.027081e+02,9.097e-07
8,1e-06,119,6.963029e-02,1.033e-14,0.1038,2.454429e+04,1.709026e+03,8.038e-07
16,1e-06,239,3.480111e-02,4.297e-14,0.6262,1.973384e+05,6.867597e+03,9.909e-07
32,1e-06,485,1.729485e-02,3.642e-14,3.7291,1.621468e+06,2.804304e+04,9.768e-07
64,1e-06,981,8.604997e-03,8.893e-14,26.7525,1.324853e+07,1.140035e+05,9.885e-07
128,1e-06,1985,4.280221e-03,7.133e-14,273.8388,1.083498e+08,4.637610e+05,9.855e-07
